Scale Name,Scale Abreviation,Harm Component,Harm Sub-Component,Harm Indicator,Item,Recall Period,Dichotomous or Polytomous?,Response Options,Harm/Behaviour/Opportunity Cost*,Authors,Citation
Consumption Screen for Problem Gamblers,CSPG,Uncontrolled Gambling,Uncontrolled Gambling,Frequency,How often did you gamble in the past 12 months?,Past 12 months,Polytomous,I have NEVER gambled; I have not gambled at all in the past 12 months; Monly or less; 2 to 4 times a month; 2 to 3 times a week; 4 to 5 times a week; 6 or more times a week,Behaviour,Rockloff,"Rockloff, M. J. (2012). Validation of the consumption screen for problem gambling (CSPG). Journal of Gambling Studies, 28, 207-216."
Consumption Screen for Problem Gamblers,CSPG,Uncontrolled Gambling,Uncontrolled Gambling,Frequency,How much time did you spend gambling on a typical day in which you gambled in the past 12 months?,Past 12 months,Polytomous,Less than 30 minutes; more than 30 minutes but less than an hour; more than 1 hour but less than 2 hours; more than 2 hours but less than 3 hours; more than 3 hours,Behaviour,Rockloff,"Rockloff, M. J. (2012). Validation of the consumption screen for problem gambling (CSPG). Journal of Gambling Studies, 28, 207-216."
Consumption Screen for Problem Gamblers,CSPG,Uncontrolled Gambling,Uncontrolled Gambling,Frequency,How often did you spend more than 2 hours gambling (on a single occasion) in the past 12 months?,Past 12 months,Polytomous,Never; less than monthly; monthly; weekly; daily or almost daily,Behaviour,Rockloff,"Rockloff, M. J. (2012). Validation of the consumption screen for problem gambling (CSPG). Journal of Gambling Studies, 28, 207-216."
Domain General Gambling Harms Scale,DGHS-7,Resources,Finances,Impact on Finances,What level of negative impact did your gambling have upon your financial security during this time?,Please consider your gambling during the last 12 months,Polytomous,No impact; Minor impact; Some impact; Moderate impact; Major Impact,Harm,Syversten et al. ,"Syvertsen, A., Kristensen, J. H., Browne, M., Li, E., & Pallesen, S. (2023). Validation of the 7-Item Domain-General Gambling Harm Scale (DGHS-7). Addictive Behaviors Reports, 17, 100499."
Domain General Gambling Harms Scale,DGHS-7,Relationships,Close/Personal,Impact on Relationships,"What level of negative impact did your gambling have upon your personal relationships (family, friends, spouse, partner, etc.) during this time?",Please consider your gambling during the last 12 months,Polytomous,No impact; Minor impact; Some impact; Moderate impact; Major Impact,Harm,Syversten et al. ,"Syvertsen, A., Kristensen, J. H., Browne, M., Li, E., & Pallesen, S. (2023). Validation of the 7-Item Domain-General Gambling Harm Scale (DGHS-7). Addictive Behaviors Reports, 17, 100499."
Domain General Gambling Harms Scale,DGHS-7,Health,Mental,Impact on Health,What level of negative impact did your gambling have upon your emotional or psychological wellbeing during this time?,Please consider your gambling during the last 12 months,Polytomous,No impact; Minor impact; Some impact; Moderate impact; Major Impact,Harm,Syversten et al. ,"Syvertsen, A., Kristensen, J. H., Browne, M., Li, E., & Pallesen, S. (2023). Validation of the 7-Item Domain-General Gambling Harm Scale (DGHS-7). Addictive Behaviors Reports, 17, 100499."
Domain General Gambling Harms Scale,DGHS-7,Health,Physical,Impact on Health,What level of negative impact did your gambling have upon your physical or mental health during this time?,Please consider your gambling during the last 12 months,Polytomous,No impact; Minor impact; Some impact; Moderate impact; Major Impact,Harm,Syversten et al. ,"Syvertsen, A., Kristensen, J. H., Browne, M., Li, E., & Pallesen, S. (2023). Validation of the 7-Item Domain-General Gambling Harm Scale (DGHS-7). Addictive Behaviors Reports, 17, 100499."
Domain General Gambling Harms Scale,DGHS-7,Resources,Work & Study,Impact on Work,What level of negative impact did your gambling have upon your work or study performance during this time?,Please consider your gambling during the last 12 months,Polytomous,No impact; Minor impact; Some impact; Moderate impact; Major Impact,Harm,Syversten et al. ,"Syvertsen, A., Kristensen, J. H., Browne, M., Li, E., & Pallesen, S. (2023). Validation of the 7-Item Domain-General Gambling Harm Scale (DGHS-7). Addictive Behaviors Reports, 17, 100499."
Domain General Gambling Harms Scale,DGHS-7,Relationships,Community,Impact on community,"What level of negative impact did your gambling have upon your cultural or religious community during this time? (For example, feeling less connected or contributing less to cultural/religious community.)",Please consider your gambling during the last 12 months,Polytomous,No impact; Minor impact; Some impact; Moderate impact; Major Impact,Harm,Syversten et al. ,"Syvertsen, A., Kristensen, J. H., Browne, M., Li, E., & Pallesen, S. (2023). Validation of the 7-Item Domain-General Gambling Harm Scale (DGHS-7). Addictive Behaviors Reports, 17, 100499."
Domain General Gambling Harms Scale,DGHS-7,Resources,Crime,Impact on Crime,"What level of negative impact did your gambling have upon your law-abidingness during this time? (For example, taking money or items from friends or family without asking first.)",Please consider your gambling during the last 12 months,Polytomous,No impact; Minor impact; Some impact; Moderate impact; Major Impact,Harm,Syversten et al. ,"Syvertsen, A., Kristensen, J. H., Browne, M., Li, E., & Pallesen, S. (2023). Validation of the 7-Item Domain-General Gambling Harm Scale (DGHS-7). Addictive Behaviors Reports, 17, 100499."
