SCORE,MEASURE,S.E.,INFO,NORMED,S.E.NORMED,FREQ,FREQ%,CUM.FREQ,CUMFREQ%,PERCENTILE,1,2,3,4,5,6,7,8,9
0,-4.84,1.86,0.29,314,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-3.55,1.06,0.89,426,92,227,49.7,227,49.7,25,0.25,0.07,0.28,0.02,0.07,0.06,0.08,0.04,0.13
2,-2.74,0.78,1.64,497,68,85,18.6,312,68.3,59,0.48,0.14,0.54,0.05,0.15,0.13,0.16,0.09,0.27
3,-2.23,0.65,2.33,541,57,57,12.5,369,80.7,75,0.69,0.23,0.77,0.08,0.23,0.2,0.25,0.15,0.4
4,-1.85,0.58,2.98,574,50,27,5.9,396,86.7,84,0.9,0.31,1,0.11,0.32,0.28,0.34,0.21,0.54
5,-1.55,0.53,3.59,600,46,8,1.8,404,88.4,88,1.1,0.4,1.22,0.14,0.41,0.35,0.43,0.27,0.67
6,-1.29,0.49,4.13,623,43,7,1.5,411,89.9,89,1.3,0.48,1.44,0.18,0.5,0.43,0.53,0.33,0.81
7,-1.06,0.47,4.6,643,41,8,1.8,419,91.7,91,1.49,0.57,1.64,0.22,0.59,0.52,0.62,0.4,0.94
8,-0.85,0.45,5,661,39,4,0.9,423,92.6,92,1.68,0.67,1.83,0.27,0.69,0.6,0.72,0.47,1.08
9,-0.66,0.43,5.33,678,38,5,1.1,428,93.7,93,1.85,0.77,2,0.31,0.79,0.69,0.83,0.54,1.23
10,-0.48,0.42,5.61,694,37,3,0.7,431,94.3,94,2.01,0.87,2.15,0.36,0.89,0.79,0.94,0.62,1.38
11,-0.3,0.41,5.84,709,36,3,0.7,434,95,95,2.16,0.98,2.28,0.41,1,0.89,1.05,0.7,1.53
12,-0.13,0.41,6.04,724,35,2,0.4,436,95.4,95,2.28,1.09,2.4,0.47,1.12,0.99,1.17,0.79,1.68
13,0.03,0.4,6.19,738,35,2,0.4,438,95.8,96,2.39,1.22,2.49,0.53,1.24,1.11,1.3,0.88,1.83
14,0.19,0.4,6.31,752,35,1,0.2,439,96.1,96,2.49,1.34,2.57,0.6,1.38,1.23,1.44,0.98,1.97
15,0.35,0.4,6.37,765,34,3,0.7,442,96.7,96,2.57,1.48,2.64,0.67,1.51,1.35,1.58,1.09,2.1
16,0.5,0.4,6.38,779,34,2,0.4,444,97.2,97,2.64,1.62,2.7,0.75,1.65,1.49,1.72,1.21,2.23
17,0.66,0.4,6.3,793,35,3,0.7,447,97.8,97,2.7,1.76,2.75,0.84,1.79,1.63,1.86,1.33,2.34
18,0.82,0.4,6.14,807,35,4,0.9,451,98.7,98,2.75,1.9,2.79,0.93,1.94,1.77,2,1.47,2.44
19,0.99,0.41,5.89,821,36,1,0.2,452,98.9,99,2.79,2.05,2.83,1.04,2.08,1.92,2.14,1.62,2.53
20,1.16,0.43,5.54,836,37,0,0,452,98.9,99,2.83,2.19,2.86,1.17,2.22,2.07,2.27,1.78,2.62
21,1.35,0.44,5.08,853,39,3,0.7,455,99.6,99,2.86,2.33,2.89,1.32,2.35,2.22,2.4,1.94,2.69
22,1.56,0.47,4.52,871,41,1,0.2,456,99.8,99,2.89,2.46,2.91,1.5,2.48,2.37,2.52,2.12,2.76
23,1.8,0.51,3.85,892,44,0,0,456,99.8,99,2.92,2.58,2.93,1.71,2.6,2.51,2.63,2.3,2.81
24,2.09,0.57,3.07,917,50,0,0,456,99.8,99,2.94,2.7,2.95,1.97,2.71,2.65,2.74,2.48,2.87
25,2.47,0.68,2.17,950,59,0,0,456,99.8,99,2.96,2.81,2.97,2.28,2.81,2.77,2.83,2.66,2.91
26,3.1,0.95,1.11,1005,82,0,0,456,99.8,99,2.98,2.9,2.98,2.63,2.91,2.89,2.92,2.84,2.96
27,4.2,1.76,0.32,1100,154,1,0.2,457,100,99,3,3,3,3,3,3,3,3,3
